Size (n*n),Runtime
866,0.008157968521118164
867,0.008533000946044922
868,0.008615255355834961
869,0.008723258972167969
870,0.008695840835571289
871,0.008476018905639648
872,0.008765220642089844
873,0.008585214614868164
874,0.008684158325195312
875,0.008709907531738281
876,0.008773088455200195
877,0.008732318878173828
878,0.009034395217895508
879,0.008870124816894531
880,0.008849859237670898
881,0.009046792984008789
882,0.008685111999511719
883,0.008234977722167969
884,0.008885860443115234
885,0.009026050567626953
886,0.009079933166503906
887,0.008669376373291016
888,0.008786201477050781
889,0.008640050888061523
890,0.008938074111938477
891,0.008902311325073242
892,0.009184837341308594
893,0.00908803939819336
894,0.009122133255004883
895,0.00928187370300293
896,0.009083271026611328
897,0.008819818496704102
898,0.008851289749145508
899,0.008851289749145508
900,0.008717060089111328
901,0.009482145309448242
902,0.009173154830932617
903,0.009154081344604492
904,0.009036064147949219
905,0.008972883224487305
906,0.009070158004760742
907,0.009219169616699219
908,0.009077072143554688
909,0.009437799453735352
910,0.009539127349853516
911,0.009037256240844727
912,0.009472131729125977
913,0.00949716567993164
914,0.00909280776977539
915,0.00956416130065918
916,0.009479045867919922
917,0.009128093719482422
918,0.009555816650390625
919,0.009737014770507812
920,0.00923609733581543
921,0.00946664810180664
922,0.009430885314941406
923,0.009334087371826172
924,0.00955820083618164
925,0.009765863418579102
926,0.009935140609741211
927,0.009737014770507812
928,0.009814023971557617
929,0.010246038436889648
930,0.00976109504699707
931,0.00981283187866211
932,0.009734869003295898
933,0.009768962860107422
934,0.009778976440429688
935,0.010000944137573242
936,0.01019597053527832
937,0.010032892227172852
938,0.010293006896972656
939,0.010236978530883789
940,0.009804248809814453
941,0.00970911979675293
942,0.009757041931152344
943,0.010313034057617188
944,0.010081052780151367
945,0.010061025619506836
946,0.010392904281616211
947,0.00973200798034668
948,0.009844064712524414
949,0.009758949279785156
950,0.0098419189453125
951,0.009747982025146484
952,0.010221004486083984
953,0.010183095932006836
954,0.010378122329711914
955,0.010616064071655273
956,0.010307788848876953
957,0.010291814804077148
958,0.010282039642333984
959,0.010553121566772461
960,0.010486125946044922
961,0.010271072387695312
962,0.010711193084716797
963,0.010477781295776367
964,0.010890960693359375
965,0.011211872100830078
966,0.010790109634399414
967,0.010942220687866211
968,0.010142087936401367
969,0.010785102844238281
970,0.011047840118408203
971,0.01029515266418457
972,0.01050710678100586
973,0.010788679122924805
974,0.011172056198120117
975,0.011088132858276367
976,0.010915040969848633
977,0.01078033447265625
978,0.011023283004760742
979,0.010857105255126953
980,0.010874032974243164
981,0.011270999908447266
